# log_start_utc=2026-07-12T01:18:47.356Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-12T01:18:47.356Z,2026-07-11 20:18:47.356,1,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4170001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=295;gpio=1;device_seq=552;time_source=device_synced;device_timestamp_utc=2026-07-12T01:18:35.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4170;heap=154020;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:18:47.356Z,2026-07-11 20:18:47.356,2,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4170001,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=271;gpio=4;device_seq=553;time_source=device_synced;device_timestamp_utc=2026-07-12T01:18:35.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4170;heap=154020;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:18:47.356Z,2026-07-11 20:18:47.356,3,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4170001,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=193;gpio=5;device_seq=554;time_source=device_synced;device_timestamp_utc=2026-07-12T01:18:35.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4170;heap=154020;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:18:47.356Z,2026-07-11 20:18:47.356,4,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4170001,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=286;gpio=6;device_seq=555;time_source=device_synced;device_timestamp_utc=2026-07-12T01:18:35.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4170;heap=154020;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-12T01:18:47.356Z,2026-07-11 20:18:47.356,5,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4170719,ESP32,esp32_die,on_chip,die_temp,,29.20,degC,OK,,,,,name=c5yellow2;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=76db52b1;transport=wifi_poll,
plants.soil,2026-07-12T01:19:18.589Z,2026-07-11 20:19:18.589,6,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4200001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=241;gpio=1;device_seq=556;time_source=device_synced;device_timestamp_utc=2026-07-12T01:19:05.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4200;heap=153520;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:19:18.589Z,2026-07-11 20:19:18.589,7,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4200001,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=265;gpio=4;device_seq=557;time_source=device_synced;device_timestamp_utc=2026-07-12T01:19:05.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4200;heap=153520;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:19:18.589Z,2026-07-11 20:19:18.589,8,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4200001,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=187;gpio=5;device_seq=558;time_source=device_synced;device_timestamp_utc=2026-07-12T01:19:05.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4200;heap=153520;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-12T01:19:18.589Z,2026-07-11 20:19:18.589,9,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4200001,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,0,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=294;gpio=6;device_seq=559;time_source=device_synced;device_timestamp_utc=2026-07-12T01:19:05.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4200;heap=153520;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-12T01:19:18.589Z,2026-07-11 20:19:18.589,10,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4201785,ESP32,esp32_die,on_chip,die_temp,,29.20,degC,OK,,,,,name=c5yellow2;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=76db52b1;transport=wifi_poll,
plants.soil,2026-07-12T01:19:48.800Z,2026-07-11 20:19:48.800,11,13bedb,n3jhsp,0.7.1,fleet_logger_0_1,4230001,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1,,,SENSOR_FAULT,,,996.3,,name=c5yellow2;level=submerged;role=diag;spread=276;gpio=1;device_seq=560;time_source=device_synced;device_timestamp_utc=2026-07-12T01:19:35.514Z;config_id=76db52b1;fault=dead_adc;rssi=-42;uptime_s=4230;heap=153520;cal_tier=board-cal;cal_src=board_envelope_20260710;pressure_context_source=weather_openmeteo;transport=wifi_poll,
