# plant=p02 Pothos (XXL) d2 sensor=s2 ip=192.168.68.87 dose_ml=118.0
ts_utc,device_seq,raw,band
2026-07-07T02:27:14+00:00,24443,2726,dry
2026-07-07T02:27:44+00:00,24447,2717,dry
2026-07-07T02:28:15+00:00,24451,2721,dry
2026-07-07T02:28:45+00:00,24455,2716,dry
2026-07-07T02:29:16+00:00,24459,2684,dry
2026-07-07T02:29:46+00:00,24463,1990,dry
2026-07-07T02:30:17+00:00,24467,2098,needs water
2026-07-07T02:30:48+00:00,24471,2097,needs water
2026-07-07T02:31:18+00:00,24475,2106,needs water
2026-07-07T02:31:49+00:00,24479,2112,needs water
2026-07-07T02:32:19+00:00,24483,2126,needs water
2026-07-07T02:32:49+00:00,24487,2122,needs water
2026-07-07T02:33:20+00:00,24491,2135,needs water
2026-07-07T02:33:41+00:00,24495,2131,needs water
2026-07-07T02:34:12+00:00,24499,2145,needs water
2026-07-07T02:34:42+00:00,24503,2163,needs water
2026-07-07T02:35:13+00:00,24507,2179,needs water
