# plant=p02 Pothos (XXL) sensor=s2 ip=192.168.68.87 dose_ml=237.0
ts_utc,device_seq,raw,band
2026-07-07T02:05:00+00:00,24263,2954,dry
2026-07-07T02:05:11+00:00,24267,2951,dry
2026-07-07T02:05:42+00:00,24271,2940,dry
2026-07-07T02:06:12+00:00,24275,2935,dry
2026-07-07T02:06:42+00:00,24279,2943,dry
2026-07-07T02:07:13+00:00,24283,2693,dry
2026-07-07T02:07:44+00:00,24287,2767,dry
2026-07-07T02:08:14+00:00,24291,2788,dry
2026-07-07T02:08:45+00:00,24295,2797,dry
2026-07-07T02:09:15+00:00,24299,2785,dry
2026-07-07T02:09:46+00:00,24303,2786,dry
2026-07-07T02:10:16+00:00,24307,2787,dry
2026-07-07T02:10:47+00:00,24311,2778,dry
2026-07-07T02:11:17+00:00,24315,2780,dry
2026-07-07T02:11:47+00:00,24319,2777,dry
2026-07-07T02:12:18+00:00,24323,2778,dry
2026-07-07T02:12:49+00:00,24327,2771,dry
