# plant=p03 Pothos (XL) d2 sensor=s4 ip=192.168.68.85 dose_ml=118.0
ts_utc,device_seq,raw,band
2026-07-07T02:27:22+00:00,24313,2290,dry
2026-07-07T02:27:53+00:00,24317,2289,dry
2026-07-07T02:28:23+00:00,24321,2288,dry
2026-07-07T02:28:54+00:00,24325,2288,dry
2026-07-07T02:29:25+00:00,24329,2289,dry
2026-07-07T02:29:55+00:00,24333,2243,dry
2026-07-07T02:30:26+00:00,24337,2230,dry
2026-07-07T02:30:56+00:00,24341,2232,dry
2026-07-07T02:31:26+00:00,24345,2239,dry
2026-07-07T02:31:57+00:00,24349,2239,dry
2026-07-07T02:32:27+00:00,24353,2240,dry
2026-07-07T02:32:57+00:00,24357,2243,dry
2026-07-07T02:33:28+00:00,24361,2242,dry
2026-07-07T02:33:58+00:00,24365,2240,dry
2026-07-07T02:34:29+00:00,24369,2225,dry
2026-07-07T02:34:49+00:00,24373,2236,dry
2026-07-07T02:35:19+00:00,24377,2235,dry
