# plant=p03 Pothos (XL) sensor=s4 ip=192.168.68.85 dose_ml=177.0
ts_utc,device_seq,raw,band
2026-07-07T02:14:52+00:00,24213,2334,dry
2026-07-07T02:15:22+00:00,24217,2318,dry
2026-07-07T02:15:53+00:00,24221,2268,dry
2026-07-07T02:16:23+00:00,24225,2274,dry
2026-07-07T02:16:54+00:00,24229,2282,dry
2026-07-07T02:17:24+00:00,24233,2286,dry
2026-07-07T02:17:56+00:00,24237,2288,dry
2026-07-07T02:18:26+00:00,24241,2290,dry
2026-07-07T02:18:56+00:00,24245,2292,dry
2026-07-07T02:19:27+00:00,24249,2291,dry
