# plant=p04 Dracaena (cane) d2 sensor=s4 ip=192.168.68.87 dose_ml=59.0
ts_utc,device_seq,raw,band
2026-07-07T02:27:37+00:00,24441,2440,dry
2026-07-07T02:27:47+00:00,24445,2431,dry
2026-07-07T02:28:17+00:00,24449,2444,dry
2026-07-07T02:28:48+00:00,24453,2427,dry
2026-07-07T02:29:18+00:00,24457,2426,dry
2026-07-07T02:29:48+00:00,24461,2427,dry
2026-07-07T02:30:19+00:00,24465,2422,dry
2026-07-07T02:30:49+00:00,24469,2380,dry
2026-07-07T02:31:20+00:00,24473,2378,dry
2026-07-07T02:31:43+00:00,24477,2389,dry
2026-07-07T02:32:13+00:00,24481,2395,dry
2026-07-07T02:32:44+00:00,24485,2398,dry
2026-07-07T02:33:15+00:00,24489,2390,dry
2026-07-07T02:33:45+00:00,24493,2389,dry
2026-07-07T02:34:16+00:00,24497,2386,dry
2026-07-07T02:34:46+00:00,24501,2384,dry
2026-07-07T02:35:17+00:00,24505,2383,dry
