# plant=p04 Dracaena (cane) sensor=s4 ip=192.168.68.87 dose_ml=118.0
ts_utc,device_seq,raw,band
2026-07-07T02:17:04+00:00,24357,2687,dry
2026-07-07T02:17:14+00:00,24361,2711,dry
2026-07-07T02:17:44+00:00,24365,1759,dry
2026-07-07T02:18:16+00:00,24369,2184,dry
2026-07-07T02:18:47+00:00,24373,2258,dry
2026-07-07T02:19:17+00:00,24377,2281,dry
2026-07-07T02:19:48+00:00,24381,2310,dry
2026-07-07T02:20:19+00:00,24385,2301,dry
2026-07-07T02:20:49+00:00,24389,2336,dry
2026-07-07T02:21:20+00:00,24393,2368,dry
2026-07-07T02:21:50+00:00,24397,2388,dry
2026-07-07T02:22:11+00:00,24401,2409,dry
2026-07-07T02:22:42+00:00,24405,2417,dry
2026-07-07T02:23:13+00:00,24409,2430,dry
2026-07-07T02:23:44+00:00,24413,2407,dry
2026-07-07T02:24:14+00:00,24417,2443,dry
2026-07-07T02:24:45+00:00,24421,2445,dry
2026-07-07T02:25:15+00:00,24425,2411,dry
2026-07-07T02:25:46+00:00,24429,2441,dry
2026-07-07T02:26:16+00:00,24433,2451,dry
