# plant=p07 Bromeliad sensor=s2 ip=192.168.68.85 dose_ml=59.0
ts_utc,device_seq,raw,band
2026-07-07T02:22:00+00:00,24271,2213,dry
2026-07-07T02:22:20+00:00,24275,2001,dry
2026-07-07T02:22:51+00:00,24279,2043,needs water
2026-07-07T02:23:21+00:00,24283,2007,needs water
2026-07-07T02:23:51+00:00,24287,1994,needs water
2026-07-07T02:24:22+00:00,24291,2065,needs water
2026-07-07T02:24:52+00:00,24295,2065,needs water
2026-07-07T02:25:22+00:00,24299,2104,needs water
2026-07-07T02:25:53+00:00,24303,2090,needs water
2026-07-07T02:26:23+00:00,24307,2086,needs water
