# log_start_utc=2026-07-27T00:00:06.687Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-27T16:03:19.536Z,2026-07-27 11:03:19.536,14126,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525030033,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1224,,,OK,,,987.6,,name=c5off1;level=overwatered;role=disp;spread=11;gpio=1;device_seq=70000;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:02.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525030;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.536Z,2026-07-27 11:03:19.536,14127,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525030033,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1336,,,OK,,,987.6,,name=c5off1;level=well watered;role=disp;spread=16;gpio=4;device_seq=70001;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:02.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525030;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.536Z,2026-07-27 11:03:19.536,14128,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525030033,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1726,,,OK,,,987.6,,name=c5off1;level=needs water;role=disp;spread=4;gpio=5;device_seq=70002;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:02.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525030;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.536Z,2026-07-27 11:03:19.536,14129,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525030033,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1594,,,OK,,,987.6,,name=c5off1;level=OK;role=disp;spread=21;gpio=6;device_seq=70003;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:02.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525030;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:03:19.536Z,2026-07-27 11:03:19.536,14130,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525030717,ESP32,esp32_die,on_chip,die_temp,,25.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
plants.soil,2026-07-27T16:03:50.038Z,2026-07-27 11:03:50.038,14131,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525060033,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1206,,,OK,,,987.6,,name=c5off1;level=overwatered;role=disp;spread=9;gpio=1;device_seq=70004;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:32.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525060;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:50.038Z,2026-07-27 11:03:50.038,14132,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525060033,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1317,,,OK,,,987.6,,name=c5off1;level=well watered;role=disp;spread=10;gpio=4;device_seq=70005;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:32.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525060;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:50.038Z,2026-07-27 11:03:50.038,14133,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525060033,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1727,,,OK,,,987.6,,name=c5off1;level=needs water;role=disp;spread=12;gpio=5;device_seq=70006;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:32.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525060;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:50.038Z,2026-07-27 11:03:50.038,14134,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525060033,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1578,,,OK,,,987.6,,name=c5off1;level=OK;role=disp;spread=24;gpio=6;device_seq=70007;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:32.146Z;config_id=170b1c1e;rssi=-56;uptime_s=525060;heap=152660;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:03:50.038Z,2026-07-27 11:03:50.038,14135,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,525060717,ESP32,esp32_die,on_chip,die_temp,,25.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
