# log_start_utc=2026-07-28T00:00:13.822Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-28T00:00:13.822Z,2026-07-27 19:00:13.822,18811,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553650035,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1212,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=13;gpio=1;device_seq=73816;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553650;heap=152388;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:13.822Z,2026-07-27 19:00:13.822,18812,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553650035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1353,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=19;gpio=4;device_seq=73817;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553650;heap=152388;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:13.822Z,2026-07-27 19:00:13.822,18813,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553650035,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1202,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=24;gpio=5;device_seq=73818;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553650;heap=152388;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:13.822Z,2026-07-27 19:00:13.822,18814,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553650035,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1602,,,OK,,,983.6,,name=c5off1;level=OK;role=disp;spread=21;gpio=6;device_seq=73819;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553650;heap=152388;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-28T00:00:13.822Z,2026-07-27 19:00:13.822,18815,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553650719,ESP32,esp32_die,on_chip,die_temp,,24.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
plants.soil,2026-07-28T00:00:45.659Z,2026-07-27 19:00:45.659,18816,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553680035,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1211,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=24;gpio=1;device_seq=73820;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:32.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553680;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:45.659Z,2026-07-27 19:00:45.659,18817,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553680035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1343,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=24;gpio=4;device_seq=73821;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:32.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553680;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:45.659Z,2026-07-27 19:00:45.659,18818,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553680035,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1204,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=18;gpio=5;device_seq=73822;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:32.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553680;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:00:45.659Z,2026-07-27 19:00:45.659,18819,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553680035,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1598,,,OK,,,983.6,,name=c5off1;level=OK;role=disp;spread=22;gpio=6;device_seq=73823;time_source=device_synced;device_timestamp_utc=2026-07-28T00:00:32.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553680;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-28T00:00:45.659Z,2026-07-27 19:00:45.659,18820,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553680719,ESP32,esp32_die,on_chip,die_temp,,23.70,degC,OK,,,,,name=c5off1;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=170b1c1e;transport=wifi_poll,
plants.soil,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18821,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710035,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1215,,,OK,,,983.6,,name=c5off1;level=overwatered;role=disp;spread=16;gpio=1;device_seq=73824;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553710;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-28T00:01:15.978Z,2026-07-27 19:01:15.978,18822,2a89d4,8gtt1h,0.7.3,fleet_logger_0_1,553710035,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1344,,,OK,,,983.6,,name=c5off1;level=well watered;role=disp;spread=21;gpio=4;device_seq=73825;time_source=device_synced;device_timestamp_utc=2026-07-28T00:01:02.087Z;config_id=170b1c1e;rssi=-57;uptime_s=553710;heap=152644;cal_tier=board-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
