# log_start_utc=2026-07-27T00:00:05.102Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-27T17:20:34.426Z,2026-07-27 12:20:34.426,14836,6762df,y9d41p,0.7.3,fleet_logger_0_1,529710036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1541,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=45;gpio=36;device_seq=70624;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529710;heap=195632;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:20:34.426Z,2026-07-27 12:20:34.426,14837,6762df,y9d41p,0.7.3,fleet_logger_0_1,529710036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1620,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=42;gpio=39;device_seq=70625;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529710;heap=195632;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:20:34.426Z,2026-07-27 12:20:34.426,14838,6762df,y9d41p,0.7.3,fleet_logger_0_1,529710036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1365,,,OK,,,987.0,,name=classic;level=overwatered;role=disp;spread=28;gpio=34;device_seq=70626;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529710;heap=195632;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:20:34.426Z,2026-07-27 12:20:34.426,14839,6762df,y9d41p,0.7.3,fleet_logger_0_1,529710036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1482,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=16;gpio=35;device_seq=70627;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529710;heap=195632;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T17:20:34.426Z,2026-07-27 12:20:34.426,14840,6762df,y9d41p,0.7.3,fleet_logger_0_1,529710792,ESP32,esp32_die,on_chip,die_temp,,52.22,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T17:21:04.742Z,2026-07-27 12:21:04.742,14841,6762df,y9d41p,0.7.3,fleet_logger_0_1,529740036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1539,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=12;gpio=36;device_seq=70628;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529740;heap=195644;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:04.742Z,2026-07-27 12:21:04.742,14842,6762df,y9d41p,0.7.3,fleet_logger_0_1,529740036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1621,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=20;gpio=39;device_seq=70629;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529740;heap=195644;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:04.742Z,2026-07-27 12:21:04.742,14843,6762df,y9d41p,0.7.3,fleet_logger_0_1,529740036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1363,,,OK,,,987.0,,name=classic;level=overwatered;role=disp;spread=49;gpio=34;device_seq=70630;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529740;heap=195644;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:04.742Z,2026-07-27 12:21:04.742,14844,6762df,y9d41p,0.7.3,fleet_logger_0_1,529740036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1478,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=16;gpio=35;device_seq=70631;time_source=device_synced;device_timestamp_utc=2026-07-27T17:20:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529740;heap=195644;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T17:21:04.742Z,2026-07-27 12:21:04.742,14845,6762df,y9d41p,0.7.3,fleet_logger_0_1,529740792,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T17:21:34.973Z,2026-07-27 12:21:34.973,14846,6762df,y9d41p,0.7.3,fleet_logger_0_1,529770036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1551,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=34;gpio=36;device_seq=70632;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:16.840Z;config_id=257fa022;rssi=-55;uptime_s=529770;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:34.973Z,2026-07-27 12:21:34.973,14847,6762df,y9d41p,0.7.3,fleet_logger_0_1,529770036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1620,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=20;gpio=39;device_seq=70633;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:16.840Z;config_id=257fa022;rssi=-55;uptime_s=529770;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:34.973Z,2026-07-27 12:21:34.973,14848,6762df,y9d41p,0.7.3,fleet_logger_0_1,529770036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1365,,,OK,,,987.0,,name=classic;level=overwatered;role=disp;spread=33;gpio=34;device_seq=70634;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:16.840Z;config_id=257fa022;rssi=-55;uptime_s=529770;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:21:34.973Z,2026-07-27 12:21:34.973,14849,6762df,y9d41p,0.7.3,fleet_logger_0_1,529770036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1483,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=17;gpio=35;device_seq=70635;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:16.840Z;config_id=257fa022;rssi=-55;uptime_s=529770;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T17:21:34.973Z,2026-07-27 12:21:34.973,14850,6762df,y9d41p,0.7.3,fleet_logger_0_1,529770792,ESP32,esp32_die,on_chip,die_temp,,52.78,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T17:22:06.096Z,2026-07-27 12:22:06.096,14851,6762df,y9d41p,0.7.3,fleet_logger_0_1,529800036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1545,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=28;gpio=36;device_seq=70636;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529800;heap=195892;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:22:06.096Z,2026-07-27 12:22:06.096,14852,6762df,y9d41p,0.7.3,fleet_logger_0_1,529800036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1625,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=44;gpio=39;device_seq=70637;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529800;heap=195892;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:22:06.096Z,2026-07-27 12:22:06.096,14853,6762df,y9d41p,0.7.3,fleet_logger_0_1,529800036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1365,,,OK,,,987.0,,name=classic;level=overwatered;role=disp;spread=25;gpio=34;device_seq=70638;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529800;heap=195892;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:22:06.096Z,2026-07-27 12:22:06.096,14854,6762df,y9d41p,0.7.3,fleet_logger_0_1,529800036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1477,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=36;gpio=35;device_seq=70639;time_source=device_synced;device_timestamp_utc=2026-07-27T17:21:46.840Z;config_id=257fa022;rssi=-54;uptime_s=529800;heap=195892;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T17:22:06.096Z,2026-07-27 12:22:06.096,14855,6762df,y9d41p,0.7.3,fleet_logger_0_1,529801858,ESP32,esp32_die,on_chip,die_temp,,52.22,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T17:22:36.294Z,2026-07-27 12:22:36.294,14856,6762df,y9d41p,0.7.3,fleet_logger_0_1,529830036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1544,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=42;gpio=36;device_seq=70640;time_source=device_synced;device_timestamp_utc=2026-07-27T17:22:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529830;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T17:22:36.294Z,2026-07-27 12:22:36.294,14857,6762df,y9d41p,0.7.3,fleet_logger_0_1,529830036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1626,,,OK,,,987.0,,name=classic;level=well watered;role=disp;spread=22;gpio=39;device_seq=70641;time_source=device_synced;device_timestamp_utc=2026-07-27T17:22:16.840Z;config_id=257fa022;rssi=-56;uptime_s=529830;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
