# log_start_utc=2026-07-27T00:00:05.102Z  tz_offset=-05:00  logger=fleet_logger_0_1  schema_version=1
# transport=wifi_poll  poll_cadence_s=30  logger=fleet_logger_0_1
# collected-while-host-runs: devices serve latest-reading-only; a host outage is a data gap, never backfilled (#582)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-27T16:03:19.386Z,2026-07-27 11:03:19.386,14076,6762df,y9d41p,0.7.3,fleet_logger_0_1,525090036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1526,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=24;gpio=36;device_seq=70008;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525090;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.386Z,2026-07-27 11:03:19.386,14077,6762df,y9d41p,0.7.3,fleet_logger_0_1,525090036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1599,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=43;gpio=39;device_seq=70009;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525090;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.386Z,2026-07-27 11:03:19.386,14078,6762df,y9d41p,0.7.3,fleet_logger_0_1,525090036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1823,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=29;gpio=34;device_seq=70010;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525090;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:19.386Z,2026-07-27 11:03:19.386,14079,6762df,y9d41p,0.7.3,fleet_logger_0_1,525090036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1807,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=32;gpio=35;device_seq=70011;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:16.236Z;config_id=257fa022;rssi=-62;uptime_s=525090;heap=195908;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:03:19.386Z,2026-07-27 11:03:19.386,14080,6762df,y9d41p,0.7.3,fleet_logger_0_1,525090791,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
plants.soil,2026-07-27T16:03:49.911Z,2026-07-27 11:03:49.911,14081,6762df,y9d41p,0.7.3,fleet_logger_0_1,525120036,UMLIFE_v2_TLC555,ch0,origplant,soil_moisture,1547,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=50;gpio=36;device_seq=70012;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:46.236Z;config_id=257fa022;rssi=-64;uptime_s=525120;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:49.911Z,2026-07-27 11:03:49.911,14082,6762df,y9d41p,0.7.3,fleet_logger_0_1,525120036,UMLIFE_v2_TLC555,ch1,origplant,soil_moisture,1615,,,OK,,,987.6,,name=classic;level=well watered;role=disp;spread=21;gpio=39;device_seq=70013;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:46.236Z;config_id=257fa022;rssi=-64;uptime_s=525120;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:49.911Z,2026-07-27 11:03:49.911,14083,6762df,y9d41p,0.7.3,fleet_logger_0_1,525120036,UMLIFE_v2_TLC555,ch2,origplant,soil_moisture,1852,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=30;gpio=34;device_seq=70014;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:46.236Z;config_id=257fa022;rssi=-64;uptime_s=525120;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.soil,2026-07-27T16:03:49.911Z,2026-07-27 11:03:49.911,14084,6762df,y9d41p,0.7.3,fleet_logger_0_1,525120036,UMLIFE_v2_TLC555,ch3,origplant,soil_moisture,1839,,,OK,,,987.6,,name=classic;level=OK;role=disp;spread=26;gpio=35;device_seq=70015;time_source=device_synced;device_timestamp_utc=2026-07-27T16:03:46.236Z;config_id=257fa022;rssi=-64;uptime_s=525120;heap=195896;cal_tier=channel-cal;cal_src=wet_rederive_1236_20260719;pressure_context_source=weather_openmeteo;transport=wifi_poll,
plants.env,2026-07-27T16:03:49.911Z,2026-07-27 11:03:49.911,14085,6762df,y9d41p,0.7.3,fleet_logger_0_1,525120791,ESP32,esp32_die,on_chip,die_temp,,53.33,degC,OK,,,,,name=classic;source=esp32_die;cal=uncalibrated_board_proxy;api=temperatureRead;config_id=257fa022;transport=wifi_poll,
