record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T18:40:21.649Z,2026-06-29 13:40:21.649,1624,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2035000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2290,,,OK,,,,,level=dry;role=disp;spread=43;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:21.731Z,2026-06-29 13:40:21.731,1625,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2035000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3346,,,OK,,,,,level=air-dry;role=diag;spread=63;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:21.800Z,2026-06-29 13:40:21.800,1626,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2035000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2930,,,OK,,,,,level=dry;role=disp;spread=40;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:21.884Z,2026-06-29 13:40:21.884,1627,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2035000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3116,,,OK,,,,,level=air-dry;role=diag;spread=46;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:26.653Z,2026-06-29 13:40:26.653,1628,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2040004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2290,,,OK,,,,,level=dry;role=disp;spread=34;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:26.739Z,2026-06-29 13:40:26.739,1629,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2040004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3362,,,OK,,,,,level=air-dry;role=diag;spread=47;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:26.813Z,2026-06-29 13:40:26.813,1630,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2040004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3115,,,OK,,,,,level=dry;role=disp;spread=46;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:26.889Z,2026-06-29 13:40:26.889,1631,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2040004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3114,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:31.654Z,2026-06-29 13:40:31.654,1632,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2045000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2411,,,OK,,,,,level=dry;role=disp;spread=30;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
plants.soil,2026-06-29T18:40:31.733Z,2026-06-29 13:40:31.733,1633,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2045000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3376,,,OK,,,,,level=air-dry;role=diag;spread=58;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,between_p03_p04_air_dry_sun,non_plant_experiment,,,air-dry reset / bench sun exposure,false,not in plant
