record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T16:07:39.057Z,2026-06-29 11:07:39.057,6601,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8260000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1131,,,OK,,,,,level=overwatered;role=disp;spread=17;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:39.130Z,2026-06-29 11:07:39.130,6602,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8260000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1275,,,OK,,,,,level=well watered;role=disp;spread=24;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:39.210Z,2026-06-29 11:07:39.210,6603,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8260000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1430,,,OK,,,,,level=well watered;role=disp;spread=18;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:43.974Z,2026-06-29 11:07:43.974,6604,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8265000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1245,,,OK,,,,,level=well watered;role=disp;spread=23;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:44.057Z,2026-06-29 11:07:44.057,6605,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8265000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1131,,,OK,,,,,level=overwatered;role=disp;spread=17;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:44.136Z,2026-06-29 11:07:44.136,6606,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8265000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1274,,,OK,,,,,level=well watered;role=disp;spread=21;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:44.202Z,2026-06-29 11:07:44.202,6607,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8265000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1432,,,OK,,,,,level=well watered;role=disp;spread=16;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:48.968Z,2026-06-29 11:07:48.968,6608,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8270000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1243,,,OK,,,,,level=well watered;role=disp;spread=25;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:49.058Z,2026-06-29 11:07:49.058,6609,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8270000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1130,,,OK,,,,,level=overwatered;role=disp;spread=20;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:49.136Z,2026-06-29 11:07:49.136,6610,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8270000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1277,,,OK,,,,,level=well watered;role=disp;spread=22;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:49.215Z,2026-06-29 11:07:49.215,6611,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8270000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1431,,,OK,,,,,level=well watered;role=disp;spread=17;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:53.980Z,2026-06-29 11:07:53.980,6612,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8275000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1250,,,OK,,,,,level=well watered;role=disp;spread=25;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:54.058Z,2026-06-29 11:07:54.058,6613,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8275000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1133,,,OK,,,,,level=overwatered;role=disp;spread=15;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:54.135Z,2026-06-29 11:07:54.135,6614,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8275000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1275,,,OK,,,,,level=well watered;role=disp;spread=23;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:54.214Z,2026-06-29 11:07:54.214,6615,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8275000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1431,,,OK,,,,,level=well watered;role=disp;spread=19;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:58.972Z,2026-06-29 11:07:58.972,6616,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8280000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1246,,,OK,,,,,level=well watered;role=disp;spread=26;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:59.052Z,2026-06-29 11:07:59.052,6617,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8280000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1131,,,OK,,,,,level=overwatered;role=disp;spread=20;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:59.131Z,2026-06-29 11:07:59.131,6618,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8280000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1275,,,OK,,,,,level=well watered;role=disp;spread=20;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:07:59.211Z,2026-06-29 11:07:59.211,6619,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8280000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1432,,,OK,,,,,level=well watered;role=disp;spread=19;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:03.977Z,2026-06-29 11:08:03.977,6620,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8285000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1245,,,OK,,,,,level=well watered;role=disp;spread=25;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:04.058Z,2026-06-29 11:08:04.058,6621,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8285000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1129,,,OK,,,,,level=overwatered;role=disp;spread=19;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:04.137Z,2026-06-29 11:08:04.137,6622,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8285000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1276,,,OK,,,,,level=well watered;role=disp;spread=20;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:04.213Z,2026-06-29 11:08:04.213,6623,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8285000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1434,,,OK,,,,,level=well watered;role=disp;spread=20;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:08.966Z,2026-06-29 11:08:08.966,6624,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8290000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1244,,,OK,,,,,level=well watered;role=disp;spread=25;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:09.045Z,2026-06-29 11:08:09.045,6625,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8290000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1130,,,OK,,,,,level=overwatered;role=disp;spread=18;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:09.123Z,2026-06-29 11:08:09.123,6626,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8290000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1275,,,OK,,,,,level=well watered;role=disp;spread=19;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:09.203Z,2026-06-29 11:08:09.203,6627,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8290000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1431,,,OK,,,,,level=well watered;role=disp;spread=17;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:13.977Z,2026-06-29 11:08:13.977,6628,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8295000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1245,,,OK,,,,,level=well watered;role=disp;spread=27;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:14.058Z,2026-06-29 11:08:14.058,6629,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8295000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1130,,,OK,,,,,level=overwatered;role=disp;spread=18;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:14.134Z,2026-06-29 11:08:14.134,6630,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8295000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1275,,,OK,,,,,level=well watered;role=disp;spread=21;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:14.216Z,2026-06-29 11:08:14.216,6631,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8295000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1431,,,OK,,,,,level=well watered;role=disp;spread=17;gpio=35,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:18.977Z,2026-06-29 11:08:18.977,6632,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8300000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1247,,,OK,,,,,level=well watered;role=disp;spread=25;gpio=36,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:19.049Z,2026-06-29 11:08:19.049,6633,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8300000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1131,,,OK,,,,,level=overwatered;role=disp;spread=19;gpio=39,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
plants.soil,2026-06-29T16:08:19.128Z,2026-06-29 11:08:19.128,6634,edb449,Sprout ESP32,0.7.0,plants_logger_0_4,8300000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1274,,,OK,,,,,level=well watered;role=disp;spread=23;gpio=34,,logs/Sprout ESP32_20260629_135003.csv,p01_morning_monitor,plant_segment,P01,small rescue pothos,post-water morning equilibration / pull evidence,true,
