record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T18:47:06.674Z,2026-06-29 13:47:06.674,1948,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2440004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3389,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:06.760Z,2026-06-29 13:47:06.760,1949,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2440004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3389,,,OK,,,,,level=air-dry;role=diag;spread=43;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:06.836Z,2026-06-29 13:47:06.836,1950,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2440004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3141,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:06.907Z,2026-06-29 13:47:06.907,1951,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2440004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3262,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:11.677Z,2026-06-29 13:47:11.677,1952,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2445000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3408,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:11.755Z,2026-06-29 13:47:11.755,1953,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2445000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2949,,,OK,,,,,level=air-dry;role=diag;spread=25;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:11.830Z,2026-06-29 13:47:11.830,1954,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2445000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3136,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:11.907Z,2026-06-29 13:47:11.907,1955,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2445000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3257,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:16.680Z,2026-06-29 13:47:16.680,1956,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2450004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3426,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:16.760Z,2026-06-29 13:47:16.760,1957,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2450004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3146,,,OK,,,,,level=air-dry;role=diag;spread=43;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:16.830Z,2026-06-29 13:47:16.830,1958,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2450004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3135,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:16.898Z,2026-06-29 13:47:16.898,1959,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2450004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3255,,,OK,,,,,level=air-dry;role=diag;spread=45;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:21.673Z,2026-06-29 13:47:21.673,1960,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2455000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3431,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:21.757Z,2026-06-29 13:47:21.757,1961,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2455000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:21.832Z,2026-06-29 13:47:21.832,1962,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2455000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3138,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:21.895Z,2026-06-29 13:47:21.895,1963,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2455000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3269,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:26.679Z,2026-06-29 13:47:26.679,1964,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2460004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3431,,,OK,,,,,level=air-dry;role=diag;spread=24;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:26.750Z,2026-06-29 13:47:26.750,1965,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2460004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3155,,,OK,,,,,level=air-dry;role=diag;spread=29;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:26.834Z,2026-06-29 13:47:26.834,1966,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2460004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3137,,,OK,,,,,level=air-dry;role=diag;spread=28;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:26.913Z,2026-06-29 13:47:26.913,1967,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2460004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3267,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:31.680Z,2026-06-29 13:47:31.680,1968,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2465000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3451,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:31.757Z,2026-06-29 13:47:31.757,1969,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2465000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
plants.soil,2026-06-29T18:47:31.823Z,2026-06-29 13:47:31.823,1970,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,2465000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3138,,,OK,,,,,level=air-dry;role=diag;spread=27;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p04_dracaena_bypass,plant_segment,P04,dracaena-like rescue plant,measurement / watering bypass / pull,true,
