record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T19:37:27.026Z,2026-06-29 14:37:27.026,4363,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5460004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2605,,,OK,,,,,level=dry;role=disp;spread=14;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:31.805Z,2026-06-29 14:37:31.805,4364,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5465000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2604,,,OK,,,,,level=dry;role=disp;spread=19;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:31.875Z,2026-06-29 14:37:31.875,4365,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5465000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3398,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:31.958Z,2026-06-29 14:37:31.958,4366,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5465000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2865,,,OK,,,,,level=dry;role=disp;spread=29;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:32.027Z,2026-06-29 14:37:32.027,4367,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5465000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2605,,,OK,,,,,level=dry;role=disp;spread=14;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:36.812Z,2026-06-29 14:37:36.812,4368,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5470004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2606,,,OK,,,,,level=dry;role=disp;spread=17;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:36.876Z,2026-06-29 14:37:36.876,4369,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5470004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3401,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:36.957Z,2026-06-29 14:37:36.957,4370,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5470004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2864,,,OK,,,,,level=dry;role=disp;spread=27;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:37.028Z,2026-06-29 14:37:37.028,4371,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5470004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2605,,,OK,,,,,level=dry;role=disp;spread=15;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:41.798Z,2026-06-29 14:37:41.798,4372,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5475000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2606,,,OK,,,,,level=dry;role=disp;spread=24;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:41.882Z,2026-06-29 14:37:41.882,4373,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5475000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3402,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:41.956Z,2026-06-29 14:37:41.956,4374,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5475000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2867,,,OK,,,,,level=dry;role=disp;spread=25;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:42.032Z,2026-06-29 14:37:42.032,4375,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5475000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2606,,,OK,,,,,level=dry;role=disp;spread=16;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:46.811Z,2026-06-29 14:37:46.811,4376,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5480004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2605,,,OK,,,,,level=dry;role=disp;spread=24;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:46.884Z,2026-06-29 14:37:46.884,4377,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5480004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3399,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:46.958Z,2026-06-29 14:37:46.958,4378,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5480004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2866,,,OK,,,,,level=dry;role=disp;spread=22;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:47.021Z,2026-06-29 14:37:47.021,4379,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5480004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2603,,,OK,,,,,level=dry;role=disp;spread=16;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:51.803Z,2026-06-29 14:37:51.803,4380,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5485000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2601,,,OK,,,,,level=dry;role=disp;spread=21;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:51.871Z,2026-06-29 14:37:51.871,4381,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5485000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3401,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:51.953Z,2026-06-29 14:37:51.953,4382,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5485000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2864,,,OK,,,,,level=dry;role=disp;spread=20;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:52.020Z,2026-06-29 14:37:52.020,4383,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5485000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2601,,,OK,,,,,level=dry;role=disp;spread=17;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:56.805Z,2026-06-29 14:37:56.805,4384,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5490004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1953,,,OK,,,,,level=dry;role=disp;spread=27;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:56.887Z,2026-06-29 14:37:56.887,4385,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5490004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3400,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:56.955Z,2026-06-29 14:37:56.955,4386,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5490004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2860,,,OK,,,,,level=dry;role=disp;spread=24;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:37:57.022Z,2026-06-29 14:37:57.022,4387,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5490004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2598,,,OK,,,,,level=dry;role=disp;spread=18;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:38:01.799Z,2026-06-29 14:38:01.799,4388,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5495000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3048,,,OK,,,,,level=dry;role=disp;spread=22;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:38:01.881Z,2026-06-29 14:38:01.881,4389,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5495000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2657,,,OK,,,,,level=air-dry;role=diag;spread=33;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
plants.soil,2026-06-29T19:38:01.949Z,2026-06-29 14:38:01.949,4390,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,5495000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2431,,,OK,,,,,level=dry;role=disp;spread=26;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p06_anthurium_staged_watering,plant_segment,P06,anthurium,setup / staged watering / pooled water / pull,true,
