record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T20:19:31.908Z,2026-06-29 15:19:31.908,6380,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7985000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2877,,,OK,,,,,level=dry;role=disp;spread=18;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,false,reported barely inserted with virtually no soil contact
plants.soil,2026-06-29T20:19:31.979Z,2026-06-29 15:19:31.979,6381,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7985000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2184,,,OK,,,,,level=dry;role=disp;spread=17;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:32.066Z,2026-06-29 15:19:32.066,6382,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7985000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1965,,,OK,,,,,level=needs water;role=disp;spread=26;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:32.127Z,2026-06-29 15:19:32.127,6383,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7985000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2201,,,OK,,,,,level=dry;role=disp;spread=23;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:36.919Z,2026-06-29 15:19:36.919,6384,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7990004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2879,,,OK,,,,,level=dry;role=disp;spread=22;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,false,reported barely inserted with virtually no soil contact
plants.soil,2026-06-29T20:19:36.982Z,2026-06-29 15:19:36.982,6385,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7990004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2190,,,OK,,,,,level=dry;role=disp;spread=23;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:37.065Z,2026-06-29 15:19:37.065,6386,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7990004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1966,,,OK,,,,,level=needs water;role=disp;spread=21;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:37.131Z,2026-06-29 15:19:37.131,6387,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7990004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2200,,,OK,,,,,level=dry;role=disp;spread=30;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:41.912Z,2026-06-29 15:19:41.912,6388,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7995000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2877,,,OK,,,,,level=dry;role=disp;spread=18;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,false,reported barely inserted with virtually no soil contact
plants.soil,2026-06-29T20:19:41.984Z,2026-06-29 15:19:41.984,6389,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7995000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2197,,,OK,,,,,level=dry;role=disp;spread=19;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:42.068Z,2026-06-29 15:19:42.068,6390,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7995000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1972,,,OK,,,,,level=needs water;role=disp;spread=23;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:42.131Z,2026-06-29 15:19:42.131,6391,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,7995000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2200,,,OK,,,,,level=dry;role=disp;spread=22;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:46.907Z,2026-06-29 15:19:46.907,6392,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,8000004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2880,,,OK,,,,,level=dry;role=disp;spread=20;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,false,reported barely inserted with virtually no soil contact
plants.soil,2026-06-29T20:19:46.985Z,2026-06-29 15:19:46.985,6393,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,8000004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2202,,,OK,,,,,level=dry;role=disp;spread=21;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
plants.soil,2026-06-29T20:19:47.068Z,2026-06-29 15:19:47.068,6394,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,8000004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1972,,,OK,,,,,level=needs water;role=disp;spread=29;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p07_bromeliad_measure_only,plant_segment,P07,bromeliad-like plant,measure-only / cachepot water confound / pull,true,
