record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T21:06:02.030Z,2026-06-29 16:06:02.030,8611,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10775000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3168,,,OK,,,,,level=air-dry;role=diag;spread=27;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:02.106Z,2026-06-29 16:06:02.106,8612,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10775000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3181,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:02.190Z,2026-06-29 16:06:02.190,8613,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10775000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3274,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:02.262Z,2026-06-29 16:06:02.262,8614,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10775000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3146,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:07.033Z,2026-06-29 16:06:07.033,8615,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10780004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:07.112Z,2026-06-29 16:06:07.112,8616,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10780004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3182,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:07.195Z,2026-06-29 16:06:07.195,8617,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10780004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3280,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:07.266Z,2026-06-29 16:06:07.266,8618,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10780004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3154,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:12.032Z,2026-06-29 16:06:12.032,8619,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10785000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=30;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:12.112Z,2026-06-29 16:06:12.112,8620,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10785000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3181,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:12.191Z,2026-06-29 16:06:12.191,8621,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10785000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3277,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:12.266Z,2026-06-29 16:06:12.266,8622,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10785000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3161,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:17.029Z,2026-06-29 16:06:17.029,8623,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10790004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=29;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:17.108Z,2026-06-29 16:06:17.108,8624,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10790004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3181,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:17.188Z,2026-06-29 16:06:17.188,8625,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10790004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3273,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:17.268Z,2026-06-29 16:06:17.268,8626,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10790004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3163,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:22.034Z,2026-06-29 16:06:22.034,8627,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10795000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3171,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:22.115Z,2026-06-29 16:06:22.115,8628,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10795000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3180,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:22.191Z,2026-06-29 16:06:22.191,8629,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10795000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3272,,,OK,,,,,level=air-dry;role=diag;spread=46;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:22.256Z,2026-06-29 16:06:22.256,8630,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10795000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:27.038Z,2026-06-29 16:06:27.038,8631,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10800004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3176,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:27.117Z,2026-06-29 16:06:27.117,8632,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10800004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3183,,,OK,,,,,level=air-dry;role=diag;spread=44;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:27.181Z,2026-06-29 16:06:27.181,8633,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10800004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3274,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:27.260Z,2026-06-29 16:06:27.260,8634,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10800004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3169,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:32.033Z,2026-06-29 16:06:32.033,8635,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10805000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3171,,,OK,,,,,level=air-dry;role=diag;spread=28;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:32.112Z,2026-06-29 16:06:32.112,8636,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10805000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3186,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:32.191Z,2026-06-29 16:06:32.191,8637,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10805000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3286,,,OK,,,,,level=air-dry;role=diag;spread=43;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
plants.soil,2026-06-29T21:06:32.255Z,2026-06-29 16:06:32.255,8638,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10805000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,false,air reference
plants.soil,2026-06-29T21:06:37.041Z,2026-06-29 16:06:37.041,8639,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,10810004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3168,,,OK,,,,,level=air-dry;role=diag;spread=30;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_cactus_microdose,plant_segment,P08,"small grafted cactus, likely moon cactus",two-probe baseline / microdose / s1 orientation check / pull,true,
