record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T21:17:02.067Z,2026-06-29 16:17:02.067,9139,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11435000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1399,,,OK,,,,,level=well watered;role=disp;spread=18;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:02.129Z,2026-06-29 16:17:02.129,9140,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11435000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3177,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:02.218Z,2026-06-29 16:17:02.218,9141,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11435000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3070,,,OK,,,,,level=dry;role=disp;spread=31;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:02.284Z,2026-06-29 16:17:02.284,9142,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11435000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:07.068Z,2026-06-29 16:17:07.068,9143,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11440004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1385,,,OK,,,,,level=well watered;role=disp;spread=22;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:07.149Z,2026-06-29 16:17:07.149,9144,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11440004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3173,,,OK,,,,,level=air-dry;role=diag;spread=40;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:07.223Z,2026-06-29 16:17:07.223,9145,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11440004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3069,,,OK,,,,,level=dry;role=disp;spread=34;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:07.299Z,2026-06-29 16:17:07.299,9146,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11440004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3159,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:12.063Z,2026-06-29 16:17:12.063,9147,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11445000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1377,,,OK,,,,,level=well watered;role=disp;spread=26;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:12.144Z,2026-06-29 16:17:12.144,9148,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11445000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3167,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:12.206Z,2026-06-29 16:17:12.206,9149,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11445000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3071,,,OK,,,,,level=dry;role=disp;spread=33;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
plants.soil,2026-06-29T21:17:12.295Z,2026-06-29 16:17:12.295,9150,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11445000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3159,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,false,air reference
plants.soil,2026-06-29T21:17:17.066Z,2026-06-29 16:17:17.066,9151,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,11450004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1453,,,OK,,,,,level=well watered;role=disp;spread=31;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p08_s1_orientation_check,method_probe_check,P08,"small grafted cactus, likely moon cactus",front/back probe-orientation spot check,true,
