record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T21:28:02.094Z,2026-06-29 16:28:02.094,9666,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12095000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3128,,,OK,,,,,level=air-dry;role=diag;spread=30;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,true,
plants.soil,2026-06-29T21:28:02.158Z,2026-06-29 16:28:02.158,9667,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12095000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3175,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:02.235Z,2026-06-29 16:28:02.235,9668,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12095000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3421,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:02.314Z,2026-06-29 16:28:02.314,9669,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12095000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3154,,,OK,,,,,level=air-dry;role=diag;spread=21;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:07.090Z,2026-06-29 16:28:07.090,9670,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12100004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3020,,,OK,,,,,level=air-dry;role=diag;spread=20;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,true,
plants.soil,2026-06-29T21:28:07.170Z,2026-06-29 16:28:07.170,9671,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12100004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3173,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:07.251Z,2026-06-29 16:28:07.251,9672,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12100004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3419,,,OK,,,,,level=air-dry;role=diag;spread=49;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:07.316Z,2026-06-29 16:28:07.316,9673,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12100004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3156,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:12.086Z,2026-06-29 16:28:12.086,9674,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12105000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2919,,,OK,,,,,level=air-dry;role=diag;spread=21;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,true,
plants.soil,2026-06-29T21:28:12.171Z,2026-06-29 16:28:12.171,9675,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12105000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3171,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:12.234Z,2026-06-29 16:28:12.234,9676,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12105000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3416,,,OK,,,,,level=air-dry;role=diag;spread=47;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:12.322Z,2026-06-29 16:28:12.322,9677,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12105000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3156,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:17.088Z,2026-06-29 16:28:17.088,9678,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12110004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2925,,,OK,,,,,level=dry;role=disp;spread=21;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,true,
plants.soil,2026-06-29T21:28:17.167Z,2026-06-29 16:28:17.167,9679,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12110004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3171,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
plants.soil,2026-06-29T21:28:17.246Z,2026-06-29 16:28:17.246,9680,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,12110004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3414,,,OK,,,,,level=air-dry;role=diag;spread=49;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p09_rootbound_succulent,plant_segment,P09,small rootbound succulent,single-probe rootball/soil interface / small watering / immediate runoff,false,air reference
