record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T22:21:32.231Z,2026-06-29 17:21:32.231,12233,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15305000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3252,,,OK,,,,,level=air-dry;role=diag;spread=35;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:32.302Z,2026-06-29 17:21:32.302,12234,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15305000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,2098,,,OK,,,,,level=needs water;role=disp;spread=20;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:32.372Z,2026-06-29 17:21:32.372,12235,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15305000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3100,,,OK,,,,,level=dry;role=disp;spread=42;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:32.453Z,2026-06-29 17:21:32.453,12236,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15305000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3082,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:37.223Z,2026-06-29 17:21:37.223,12237,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15310004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2812,,,OK,,,,,level=air-dry;role=diag;spread=27;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:37.312Z,2026-06-29 17:21:37.312,12238,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15310004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1831,,,OK,,,,,level=needs water;role=disp;spread=20;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:37.390Z,2026-06-29 17:21:37.390,12239,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15310004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3315,,,OK,,,,,level=air-dry;role=diag;spread=54;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:37.467Z,2026-06-29 17:21:37.467,12240,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15310004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3074,,,OK,,,,,level=air-dry;role=diag;spread=33;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:42.226Z,2026-06-29 17:21:42.226,12241,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15315000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,2793,,,OK,,,,,level=dry;role=disp;spread=22;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
plants.soil,2026-06-29T22:21:42.306Z,2026-06-29 17:21:42.306,12242,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,15315000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1856,,,OK,,,,,level=needs water;role=disp;spread=29;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p10_to_p11_air_reset,non_plant_experiment,,,probe wipe / air-dry reset / P11 prep,false,not in plant
