record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,window_key,window_kind,plant_id,plant_label,phase,probe_included_by_sage,probe_exclusion_note
plants.soil,2026-06-29T22:39:02.276Z,2026-06-29 17:39:02.276,13073,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16355000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=20;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:02.344Z,2026-06-29 17:39:02.344,13074,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16355000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3052,,,OK,,,,,level=air-dry;role=diag;spread=22;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:02.428Z,2026-06-29 17:39:02.428,13075,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16355000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3551,,,OK,,,,,level=air-dry;role=diag;spread=69;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:02.506Z,2026-06-29 17:39:02.506,13076,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16355000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3320,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:07.276Z,2026-06-29 17:39:07.276,13077,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16360004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3157,,,OK,,,,,level=air-dry;role=diag;spread=24;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:07.357Z,2026-06-29 17:39:07.357,13078,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16360004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3052,,,OK,,,,,level=air-dry;role=diag;spread=23;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:07.426Z,2026-06-29 17:39:07.426,13079,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16360004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3550,,,OK,,,,,level=air-dry;role=diag;spread=57;gpio=34,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:07.511Z,2026-06-29 17:39:07.511,13080,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16360004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3320,,,OK,,,,,level=air-dry;role=diag;spread=37;gpio=35,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:12.276Z,2026-06-29 17:39:12.276,13081,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16365000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3156,,,OK,,,,,level=air-dry;role=diag;spread=22;gpio=36,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
plants.soil,2026-06-29T22:39:12.344Z,2026-06-29 17:39:12.344,13082,706a34,Sprout ESP32,0.7.0,plants_logger_0_4,16365000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3055,,,OK,,,,,level=air-dry;role=diag;spread=27;gpio=39,,logs/Sprout ESP32_20260629_180631.csv,p11_office_plant,plant_segment,P11,"office plant, corn-plant-like, ID unconfirmed",long settle / crown watering / distributed watering / tray resoak / pull,true,
