record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.soil,2026-06-30T17:58:27.635Z,2026-06-30 12:58:27.635,15465,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3167,,,OK,,,,,level=air-dry;role=diag;spread=58;gpio=36,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:28.429Z,2026-06-30 12:58:28.429,15466,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3158,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=39,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:28.429Z,2026-06-30 12:58:28.429,15467,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3209,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=34,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:28.429Z,2026-06-30 12:58:28.429,15468,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3127,,,OK,,,,,level=air-dry;role=diag;spread=46;gpio=35,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:32.629Z,2026-06-30 12:58:32.629,15469,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3168,,,OK,,,,,level=air-dry;role=diag;spread=62;gpio=36,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:32.714Z,2026-06-30 12:58:32.714,15470,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3158,,,OK,,,,,level=air-dry;role=diag;spread=45;gpio=39,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:32.778Z,2026-06-30 12:58:32.778,15471,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3210,,,OK,,,,,level=air-dry;role=diag;spread=28;gpio=34,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:32.857Z,2026-06-30 12:58:32.857,15472,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3129,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=35,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:37.635Z,2026-06-30 12:58:37.635,15473,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,15000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3166,,,OK,,,,,level=air-dry;role=diag;spread=60;gpio=36,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:37.710Z,2026-06-30 12:58:37.710,15474,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,15000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=47;gpio=39,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:37.782Z,2026-06-30 12:58:37.782,15475,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,15000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3210,,,OK,,,,,level=air-dry;role=diag;spread=32;gpio=34,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
plants.soil,2026-06-30T17:58:37.846Z,2026-06-30 12:58:37.846,15476,8f2080,Sprout ESP32,0.7.0,plants_logger_0_4,15000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3131,,,OK,,,,,level=air-dry;role=diag;spread=43;gpio=35,,logs/Sprout ESP32_20260630_175827.csv,8f2080,soil_only_pre_env_reconnect,source log predates env rows
