record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.env,2026-06-30T18:34:55.345Z,2026-06-30 13:34:55.345,1,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_temp,29337,33.34,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.712Z,2026-06-30 13:34:56.712,2,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,SHT45,sht45,breadboard_near_esp32,ambient_rh,23704,39.21,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.714Z,2026-06-30 13:34:56.714,3,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_610,6370,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.715Z,2026-06-30 13:34:56.715,4,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_680,51201,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.716Z,2026-06-30 13:34:56.716,5,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_730,6143,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.717Z,2026-06-30 13:34:56.717,6,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_760,11620,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.717Z,2026-06-30 13:34:56.717,7,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_810,15113,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.env,2026-06-30T18:34:56.717Z,2026-06-30 13:34:56.717,8,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5000,AS7263,as7263,breadboard_near_esp32,nir_860,51201,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.soil,2026-06-30T18:34:56.717Z,2026-06-30 13:34:56.717,9,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3204,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=36,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
plants.soil,2026-06-30T18:34:56.717Z,2026-06-30 13:34:56.717,10,e39897,Sprout ESP32,0.7.0,plants_logger_0_4,5642,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3232,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=39,,logs/Sprout ESP32_20260630_183455.csv,e39897,direct_sun_wedged_session,logger restarted after first wedge
