record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,source_file,package_session,phase_hint,phase_basis
plants.soil,2026-06-30T21:53:50.559Z,2026-06-30 16:53:50.559,27501,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11460641,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3160,,,OK,,,,,level=air-dry;role=diag;spread=45;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:50.644Z,2026-06-30 16:53:50.644,27502,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11460641,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3180,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:50.721Z,2026-06-30 16:53:50.721,27503,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11460641,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3199,,,OK,,,,,level=air-dry;role=diag;spread=29;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:50.796Z,2026-06-30 16:53:50.796,27504,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11460641,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3133,,,OK,,,,,level=air-dry;role=diag;spread=52;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:54.873Z,2026-06-30 16:53:54.873,27505,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27712,29.00,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:54.957Z,2026-06-30 16:53:54.957,27506,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,SHT45,sht45,breadboard_near_esp32,ambient_rh,29235,49.76,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.089Z,2026-06-30 16:53:55.089,27507,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_610,391,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.166Z,2026-06-30 16:53:55.166,27508,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_680,851,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.244Z,2026-06-30 16:53:55.244,27509,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_730,254,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.327Z,2026-06-30 16:53:55.327,27510,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_760,456,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.408Z,2026-06-30 16:53:55.408,27511,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_810,948,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:55.478Z,2026-06-30 16:53:55.478,27512,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465000,AS7263,as7263,breadboard_near_esp32,nir_860,1147,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:55.560Z,2026-06-30 16:53:55.560,27513,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465638,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3165,,,OK,,,,,level=air-dry;role=diag;spread=60;gpio=36,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:55.641Z,2026-06-30 16:53:55.641,27514,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465638,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3177,,,OK,,,,,level=air-dry;role=diag;spread=46;gpio=39,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:55.719Z,2026-06-30 16:53:55.719,27515,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465638,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3200,,,OK,,,,,level=air-dry;role=diag;spread=29;gpio=34,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.soil,2026-06-30T21:53:55.795Z,2026-06-30 16:53:55.795,27516,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11465638,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3138,,,OK,,,,,level=air-dry;role=diag;spread=55;gpio=35,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:59.876Z,2026-06-30 16:53:59.876,27517,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11470000,SHT45,sht45,breadboard_near_esp32,ambient_temp,27707,28.99,degC,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:53:59.961Z,2026-06-30 16:53:59.961,27518,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11470000,SHT45,sht45,breadboard_near_esp32,ambient_rh,29164,49.63,pctRH,OK,,,,,mount=breadboard_near_esp32,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:54:00.075Z,2026-06-30 16:54:00.075,27519,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11470000,AS7263,as7263,breadboard_near_esp32,nir_610,396,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:54:00.154Z,2026-06-30 16:54:00.154,27520,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11470000,AS7263,as7263,breadboard_near_esp32,nir_680,853,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
plants.env,2026-06-30T21:54:00.249Z,2026-06-30 16:54:00.249,27521,58bd40,Sprout ESP32,0.7.0,plants_logger_0_4,11470000,AS7263,as7263,breadboard_near_esp32,nir_730,255,,,OK,,,,,gain=64;itime_ms=140;aim=skylight_beam;not_canopy,,logs/Sprout ESP32_20260630_184254.csv,58bd40,post_sun_continuous_air_dry_baseline,after major AS7263 drop
