bin_start_local,bin_minutes,record_type,sensor_model,sensor_id,channel,rows,first_local,last_local,raw_min,raw_max,raw_median,value_min,value_max,value_median,quality_flags,raw_eq_51201_rows
2026-06-30 12:55:00.000,5,plants.soil,UMLIFE_v2_TLC555,s1,soil_moisture,19,2026-06-30 12:58:28.429,2026-06-30 12:59:57.778,3207,3218,3212,,,,OK,0
2026-06-30 12:55:00.000,5,plants.soil,UMLIFE_v2_TLC555,s2,soil_moisture,19,2026-06-30 12:58:28.429,2026-06-30 12:59:57.859,3127,3136,3131,,,,OK,0
2026-06-30 12:55:00.000,5,plants.soil,UMLIFE_v2_TLC555,s3,soil_moisture,19,2026-06-30 12:58:27.635,2026-06-30 12:59:57.629,3165,3179,3173,,,,OK,0
2026-06-30 12:55:00.000,5,plants.soil,UMLIFE_v2_TLC555,s4,soil_moisture,19,2026-06-30 12:58:28.429,2026-06-30 12:59:57.713,3155,3172,3166,,,,OK,0
2026-06-30 13:00:00.000,5,plants.soil,UMLIFE_v2_TLC555,s1,soil_moisture,44,2026-06-30 13:00:02.795,2026-06-30 13:03:37.799,3208,3244,3227.5,,,,OK,0
2026-06-30 13:00:00.000,5,plants.soil,UMLIFE_v2_TLC555,s2,soil_moisture,44,2026-06-30 13:00:02.869,2026-06-30 13:03:37.868,3129,3163,3141.5,,,,OK,0
2026-06-30 13:00:00.000,5,plants.soil,UMLIFE_v2_TLC555,s3,soil_moisture,44,2026-06-30 13:00:02.637,2026-06-30 13:03:37.643,3167,3193,3181,,,,OK,0
2026-06-30 13:00:00.000,5,plants.soil,UMLIFE_v2_TLC555,s4,soil_moisture,44,2026-06-30 13:00:02.719,2026-06-30 13:03:37.721,3166,3187,3173.5,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_610,21,2026-06-30 13:18:16.324,2026-06-30 13:19:55.523,258,368,327,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_680,21,2026-06-30 13:18:16.324,2026-06-30 13:19:55.602,329,469,444,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_730,21,2026-06-30 13:18:16.326,2026-06-30 13:19:55.681,402,579,518,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_760,21,2026-06-30 13:18:16.326,2026-06-30 13:19:55.760,350,501,466,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_810,21,2026-06-30 13:18:16.328,2026-06-30 13:19:55.840,413,595,528,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,AS7263,as7263,nir_860,21,2026-06-30 13:18:16.328,2026-06-30 13:19:55.909,290,426,384,,,,OK,0
2026-06-30 13:15:00.000,5,plants.env,SHT45,sht45,ambient_rh,21,2026-06-30 13:18:16.321,2026-06-30 13:19:55.395,28150,28732,28382,47.69,48.8,48.14,OK,0
2026-06-30 13:15:00.000,5,plants.env,SHT45,sht45,ambient_temp,21,2026-06-30 13:18:15.303,2026-06-30 13:19:55.305,27365,27404,27377,28.07,28.18,28.11,OK,0
2026-06-30 13:15:00.000,5,plants.soil,UMLIFE_v2_TLC555,s1,soil_moisture,21,2026-06-30 13:18:16.332,2026-06-30 13:19:56.141,3197,3203,3200,,,,OK,0
2026-06-30 13:15:00.000,5,plants.soil,UMLIFE_v2_TLC555,s2,soil_moisture,21,2026-06-30 13:18:16.332,2026-06-30 13:19:56.222,3145,3152,3148,,,,OK,0
2026-06-30 13:15:00.000,5,plants.soil,UMLIFE_v2_TLC555,s3,soil_moisture,21,2026-06-30 13:18:16.330,2026-06-30 13:19:55.988,3185,3190,3188,,,,OK,0
2026-06-30 13:15:00.000,5,plants.soil,UMLIFE_v2_TLC555,s4,soil_moisture,21,2026-06-30 13:18:16.330,2026-06-30 13:19:56.071,3181,3188,3184,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_610,60,2026-06-30 13:20:00.529,2026-06-30 13:24:55.529,32,573,340.5,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_680,60,2026-06-30 13:20:00.608,2026-06-30 13:24:55.611,60,787,421.5,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_730,60,2026-06-30 13:20:00.677,2026-06-30 13:24:55.694,64,911,531,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_760,60,2026-06-30 13:20:00.765,2026-06-30 13:24:55.771,60,853,454.5,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_810,60,2026-06-30 13:20:00.843,2026-06-30 13:24:55.847,53,1036,545,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,AS7263,as7263,nir_860,60,2026-06-30 13:20:00.921,2026-06-30 13:24:55.927,40,787,388.5,,,,OK,0
2026-06-30 13:20:00.000,5,plants.env,SHT45,sht45,ambient_rh,60,2026-06-30 13:20:00.399,2026-06-30 13:24:55.395,28058,29264,28228.5,47.52,49.82,47.845,OK,0
2026-06-30 13:20:00.000,5,plants.env,SHT45,sht45,ambient_temp,60,2026-06-30 13:20:00.326,2026-06-30 13:24:55.333,27394,27423,27406,28.15,28.23,28.18,OK,0
2026-06-30 13:20:00.000,5,plants.soil,UMLIFE_v2_TLC555,s1,soil_moisture,60,2026-06-30 13:20:01.142,2026-06-30 13:24:56.160,3195,3208,3201,,,,OK,0
2026-06-30 13:20:00.000,5,plants.soil,UMLIFE_v2_TLC555,s2,soil_moisture,60,2026-06-30 13:20:01.227,2026-06-30 13:24:56.226,3142,3152,3145,,,,OK,0
2026-06-30 13:20:00.000,5,plants.soil,UMLIFE_v2_TLC555,s3,soil_moisture,60,2026-06-30 13:20:01.000,2026-06-30 13:24:55.994,3182,3189,3185,,,,OK,0
2026-06-30 13:20:00.000,5,plants.soil,UMLIFE_v2_TLC555,s4,soil_moisture,60,2026-06-30 13:20:01.075,2026-06-30 13:24:56.083,3180,3189,3184,,,,OK,0
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_610,5,2026-06-30 13:25:00.542,2026-06-30 13:25:20.537,565,8590,6510,,,,OK,0
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_680,5,2026-06-30 13:25:00.615,2026-06-30 13:25:20.624,783,51201,26196,,,,OK,2
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_730,5,2026-06-30 13:25:00.694,2026-06-30 13:25:20.691,945,7406,6252,,,,OK,0
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_760,5,2026-06-30 13:25:00.777,2026-06-30 13:25:20.775,879,11336,10531,,,,OK,0
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_810,5,2026-06-30 13:25:00.845,2026-06-30 13:25:20.857,1039,30346,14642,,,,OK,0
2026-06-30 13:25:00.000,5,plants.env,AS7263,as7263,nir_860,5,2026-06-30 13:25:00.935,2026-06-30 13:25:20.942,783,51201,51201,,,,OK,3
