# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to subject=p1_48_hours_later_baseline_air_to_soil_settle_to sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T17:11:43.280Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T17:11:43.498Z,2026-07-01 12:11:43.498,1,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3147,,,OK,,,,,level=air-dry;role=diag;spread=33;gpio=36,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s3
plants.soil,2026-07-01T17:11:43.582Z,2026-07-01 12:11:43.582,2,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3124,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=39,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s4
plants.soil,2026-07-01T17:11:43.649Z,2026-07-01 12:11:43.649,3,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3180,,,OK,,,,,level=air-dry;role=diag;spread=23;gpio=34,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s1
plants.soil,2026-07-01T17:11:43.732Z,2026-07-01 12:11:43.732,4,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3106,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=35,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s2
plants.env,2026-07-01T17:11:43.798Z,2026-07-01 12:11:43.798,5,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_temp,27046,27.22,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:43.882Z,2026-07-01 12:11:43.882,6,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_rh,27972,47.35,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:43.998Z,2026-07-01 12:11:43.998,7,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_610,285,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:44.082Z,2026-07-01 12:11:44.082,8,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_680,907,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:44.165Z,2026-07-01 12:11:44.165,9,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_730,137,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:44.238Z,2026-07-01 12:11:44.238,10,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_760,393,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:44.321Z,2026-07-01 12:11:44.321,11,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_810,1089,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:44.400Z,2026-07-01 12:11:44.400,12,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_860,1307,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.soil,2026-07-01T17:11:44.629Z,2026-07-01 12:11:44.629,13,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3410,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3146,,,OK,,,,,level=air-dry;role=diag;spread=55;gpio=36,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s3
plants.soil,2026-07-01T17:11:44.705Z,2026-07-01 12:11:44.705,14,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3410,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3120,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=39,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s4
plants.soil,2026-07-01T17:11:44.766Z,2026-07-01 12:11:44.766,15,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3410,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3188,,,OK,,,,,level=air-dry;role=diag;spread=51;gpio=34,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s1
plants.soil,2026-07-01T17:11:44.849Z,2026-07-01 12:11:44.849,16,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3410,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3099,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=35,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s2
plants.env,2026-07-01T17:11:44.935Z,2026-07-01 12:11:44.935,17,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,SHT45,sht45,breadboard_near_esp32,ambient_temp,27042,27.21,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:45.005Z,2026-07-01 12:11:45.005,18,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,SHT45,sht45,breadboard_near_esp32,ambient_rh,27968,47.35,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:45.139Z,2026-07-01 12:11:45.139,19,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_610,284,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:45.217Z,2026-07-01 12:11:45.217,20,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_680,908,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:45.289Z,2026-07-01 12:11:45.289,21,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_730,137,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:45.372Z,2026-07-01 12:11:45.372,22,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_760,393,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:45.450Z,2026-07-01 12:11:45.450,23,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_810,1089,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:45.522Z,2026-07-01 12:11:45.522,24,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_860,1307,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.soil,2026-07-01T17:11:45.755Z,2026-07-01 12:11:45.755,25,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3155,,,OK,,,,,level=air-dry;role=diag;spread=46;gpio=36,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s3
plants.soil,2026-07-01T17:11:45.835Z,2026-07-01 12:11:45.835,26,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3121,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=39,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s4
plants.soil,2026-07-01T17:11:45.906Z,2026-07-01 12:11:45.906,27,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3186,,,OK,,,,,level=air-dry;role=diag;spread=41;gpio=34,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s1
plants.soil,2026-07-01T17:11:45.983Z,2026-07-01 12:11:45.983,28,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3106,,,OK,,,,,level=air-dry;role=diag;spread=26;gpio=35,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s2
plants.env,2026-07-01T17:11:46.066Z,2026-07-01 12:11:46.066,29,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,SHT45,sht45,breadboard_near_esp32,ambient_temp,27038,27.20,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:46.133Z,2026-07-01 12:11:46.133,30,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,SHT45,sht45,breadboard_near_esp32,ambient_rh,27951,47.31,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,sht45
plants.env,2026-07-01T17:11:46.269Z,2026-07-01 12:11:46.269,31,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_610,285,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:46.350Z,2026-07-01 12:11:46.350,32,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_680,908,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:46.417Z,2026-07-01 12:11:46.417,33,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_730,137,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:46.505Z,2026-07-01 12:11:46.505,34,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_760,393,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:46.583Z,2026-07-01 12:11:46.583,35,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_810,1090,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.env,2026-07-01T17:11:46.650Z,2026-07-01 12:11:46.650,36,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_860,1308,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,as7263
plants.soil,2026-07-01T17:11:46.883Z,2026-07-01 12:11:46.883,37,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,5672,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3150,,,OK,,,,,level=air-dry;role=diag;spread=53;gpio=36,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s3
plants.soil,2026-07-01T17:11:46.967Z,2026-07-01 12:11:46.967,38,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,5672,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3122,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=39,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s4
plants.soil,2026-07-01T17:11:47.033Z,2026-07-01 12:11:47.033,39,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,5672,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3192,,,OK,,,,,level=air-dry;role=diag;spread=52;gpio=34,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s1
plants.soil,2026-07-01T17:11:47.117Z,2026-07-01 12:11:47.117,40,7d53e6,Sprout ESP32,0.7.0,experiment_capture_0_1,5672,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3103,,,OK,,,,,level=air-dry;role=diag;spread=42;gpio=35,,experiment,p1_48_hours_later_baseline_air_to_soil_settle_to,20260701_171140_p1_48_hours_later_baseline_air_to_soil_settle_to,1.0,s2
