# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_172559_s1s2_P02_-_s3s4_P03 subject=s1s2_P02_-_s3s4_P03 sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T17:26:01.692Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T17:26:01.909Z,2026-07-01 12:26:01.909,1,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3157,,,OK,,,,,level=air-dry;role=diag;spread=33;gpio=36,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s3
plants.soil,2026-07-01T17:26:01.993Z,2026-07-01 12:26:01.993,2,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3151,,,OK,,,,,level=air-dry;role=diag;spread=14;gpio=39,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s4
plants.soil,2026-07-01T17:26:02.061Z,2026-07-01 12:26:02.061,3,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3165,,,OK,,,,,level=air-dry;role=diag;spread=58;gpio=34,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s1
plants.soil,2026-07-01T17:26:02.143Z,2026-07-01 12:26:02.143,4,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3123,,,OK,,,,,level=air-dry;role=diag;spread=38;gpio=35,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,s2
plants.env,2026-07-01T17:26:02.209Z,2026-07-01 12:26:02.209,5,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_temp,26934,26.92,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,sht45
plants.env,2026-07-01T17:26:02.292Z,2026-07-01 12:26:02.292,6,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_rh,28762,48.86,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,sht45
plants.env,2026-07-01T17:26:02.413Z,2026-07-01 12:26:02.413,7,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_610,323,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:26:02.493Z,2026-07-01 12:26:02.493,8,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_680,1167,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:26:02.576Z,2026-07-01 12:26:02.576,9,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_730,142,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
plants.env,2026-07-01T17:26:02.643Z,2026-07-01 12:26:02.643,10,259815,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_760,472,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,s1s2_P02_-_s3s4_P03,20260701_172559_s1s2_P02_-_s3s4_P03,1.0,as7263
