# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_180122_p04_p05_water_halfcup_quartercup subject=p04_p05_water_halfcup_quartercup sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T18:01:24.941Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T18:01:25.094Z,2026-07-01 13:01:25.094,1,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2218,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3067,,,OK,,,,,level=air-dry;role=diag;spread=11;gpio=36,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s3
plants.soil,2026-07-01T18:01:25.158Z,2026-07-01 13:01:25.158,2,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2218,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3132,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=39,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s4
plants.soil,2026-07-01T18:01:25.241Z,2026-07-01 13:01:25.241,3,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2218,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2698,,,OK,,,,,level=dry;role=disp;spread=11;gpio=34,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s1
plants.soil,2026-07-01T18:01:25.308Z,2026-07-01 13:01:25.308,4,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2218,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2643,,,OK,,,,,level=dry;role=disp;spread=9;gpio=35,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s2
plants.env,2026-07-01T18:01:25.405Z,2026-07-01 13:01:25.405,5,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,SHT45,sht45,breadboard_near_esp32,ambient_temp,26984,27.06,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,sht45
plants.env,2026-07-01T18:01:25.475Z,2026-07-01 13:01:25.475,6,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,SHT45,sht45,breadboard_near_esp32,ambient_rh,28721,48.78,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,sht45
plants.env,2026-07-01T18:01:25.608Z,2026-07-01 13:01:25.608,7,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_610,554,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:25.686Z,2026-07-01 13:01:25.686,8,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_680,45928,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:25.767Z,2026-07-01 13:01:25.767,9,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_730,1018,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:25.845Z,2026-07-01 13:01:25.845,10,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_760,1438,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:25.916Z,2026-07-01 13:01:25.916,11,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_810,2750,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:26.002Z,2026-07-01 13:01:26.002,12,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,2546,AS7263,as7263,breadboard_near_esp32,nir_860,51201,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.soil,2026-07-01T18:01:26.155Z,2026-07-01 13:01:26.155,13,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3287,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3067,,,OK,,,,,level=air-dry;role=diag;spread=31;gpio=36,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s3
plants.soil,2026-07-01T18:01:26.226Z,2026-07-01 13:01:26.226,14,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3287,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3137,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=39,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s4
plants.soil,2026-07-01T18:01:26.292Z,2026-07-01 13:01:26.292,15,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3287,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,2701,,,OK,,,,,level=dry;role=disp;spread=26;gpio=34,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s1
plants.soil,2026-07-01T18:01:26.375Z,2026-07-01 13:01:26.375,16,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3287,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,2642,,,OK,,,,,level=dry;role=disp;spread=20;gpio=35,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,s2
plants.env,2026-07-01T18:01:26.473Z,2026-07-01 13:01:26.473,17,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,SHT45,sht45,breadboard_near_esp32,ambient_temp,26989,27.07,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,sht45
plants.env,2026-07-01T18:01:26.546Z,2026-07-01 13:01:26.546,18,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,SHT45,sht45,breadboard_near_esp32,ambient_rh,28744,48.83,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,sht45
plants.env,2026-07-01T18:01:26.676Z,2026-07-01 13:01:26.676,19,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_610,551,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:26.755Z,2026-07-01 13:01:26.755,20,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_680,45943,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:26.834Z,2026-07-01 13:01:26.834,21,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_730,1014,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:26.909Z,2026-07-01 13:01:26.909,22,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_760,1431,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:26.989Z,2026-07-01 13:01:26.989,23,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_810,2734,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
plants.env,2026-07-01T18:01:27.069Z,2026-07-01 13:01:27.069,24,889c64,Sprout ESP32,0.7.0,experiment_capture_0_1,3614,AS7263,as7263,breadboard_near_esp32,nir_860,51201,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p04_p05_water_halfcup_quartercup,20260701_180122_p04_p05_water_halfcup_quartercup,1.0,as7263
