# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_183611_p06_48h_check_2probe_maybe_water subject=p06_48h_check_2probe_maybe_water sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T18:36:13.887Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T18:36:14.121Z,2026-07-01 13:36:14.121,1,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3231,,,OK,,,,,level=air-dry;role=diag;spread=23;gpio=36,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:14.204Z,2026-07-01 13:36:14.204,2,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3225,,,OK,,,,,level=air-dry;role=diag;spread=33;gpio=39,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:14.274Z,2026-07-01 13:36:14.274,3,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3254,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=34,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s1
plants.soil,2026-07-01T18:36:14.354Z,2026-07-01 13:36:14.354,4,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3264,,,OK,,,,,level=air-dry;role=diag;spread=13;gpio=35,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s2
plants.env,2026-07-01T18:36:14.421Z,2026-07-01 13:36:14.421,5,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_temp,27677,28.91,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:14.504Z,2026-07-01 13:36:14.504,6,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_rh,26907,45.32,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:14.621Z,2026-07-01 13:36:14.621,7,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_610,104,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:14.704Z,2026-07-01 13:36:14.704,8,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_680,163,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:14.788Z,2026-07-01 13:36:14.788,9,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_730,273,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:14.865Z,2026-07-01 13:36:14.865,10,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_760,300,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:14.938Z,2026-07-01 13:36:14.938,11,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_810,366,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:15.021Z,2026-07-01 13:36:15.021,12,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_860,333,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.soil,2026-07-01T18:36:15.238Z,2026-07-01 13:36:15.238,13,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3411,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3236,,,OK,,,,,level=air-dry;role=diag;spread=23;gpio=36,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:15.321Z,2026-07-01 13:36:15.321,14,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3411,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3227,,,OK,,,,,level=air-dry;role=diag;spread=30;gpio=39,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:15.388Z,2026-07-01 13:36:15.388,15,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3411,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3290,,,OK,,,,,level=air-dry;role=diag;spread=55;gpio=34,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s1
plants.soil,2026-07-01T18:36:15.472Z,2026-07-01 13:36:15.472,16,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3411,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3256,,,OK,,,,,level=air-dry;role=diag;spread=21;gpio=35,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s2
plants.env,2026-07-01T18:36:15.555Z,2026-07-01 13:36:15.555,17,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,SHT45,sht45,breadboard_near_esp32,ambient_temp,27676,28.90,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:15.622Z,2026-07-01 13:36:15.622,18,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,SHT45,sht45,breadboard_near_esp32,ambient_rh,26944,45.39,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:15.755Z,2026-07-01 13:36:15.755,19,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_610,103,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:15.839Z,2026-07-01 13:36:15.839,20,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_680,165,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:15.905Z,2026-07-01 13:36:15.905,21,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_730,274,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:15.989Z,2026-07-01 13:36:15.989,22,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_760,302,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:16.072Z,2026-07-01 13:36:16.072,23,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_810,367,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:16.140Z,2026-07-01 13:36:16.140,24,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,3738,AS7263,as7263,breadboard_near_esp32,nir_860,333,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.soil,2026-07-01T18:36:16.374Z,2026-07-01 13:36:16.374,25,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3232,,,OK,,,,,level=air-dry;role=diag;spread=20;gpio=36,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:16.455Z,2026-07-01 13:36:16.455,26,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3220,,,OK,,,,,level=air-dry;role=diag;spread=45;gpio=39,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,notinuse
plants.soil,2026-07-01T18:36:16.522Z,2026-07-01 13:36:16.522,27,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3283,,,OK,,,,,level=air-dry;role=diag;spread=64;gpio=34,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s1
plants.soil,2026-07-01T18:36:16.605Z,2026-07-01 13:36:16.605,28,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4544,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3256,,,OK,,,,,level=air-dry;role=diag;spread=17;gpio=35,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,s2
plants.env,2026-07-01T18:36:16.689Z,2026-07-01 13:36:16.689,29,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,SHT45,sht45,breadboard_near_esp32,ambient_temp,27678,28.91,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:16.756Z,2026-07-01 13:36:16.756,30,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,SHT45,sht45,breadboard_near_esp32,ambient_rh,26960,45.42,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,sht45
plants.env,2026-07-01T18:36:16.889Z,2026-07-01 13:36:16.889,31,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_610,104,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:16.972Z,2026-07-01 13:36:16.972,32,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_680,162,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
plants.env,2026-07-01T18:36:17.047Z,2026-07-01 13:36:17.047,33,975e0a,Sprout ESP32,0.7.0,experiment_capture_0_1,4871,AS7263,as7263,breadboard_near_esp32,nir_730,271,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p06_48h_check_2probe_maybe_water,20260701_183611_p06_48h_check_2probe_maybe_water,1.0,as7263
