# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_191925_p08_p09_48h_measure_only_2probe subject=p08_p09_48h_measure_only_2probe sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T19:19:28.065Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T19:19:28.282Z,2026-07-01 14:19:28.282,1,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3179,,,OK,,,,,level=air-dry;role=diag;spread=18;gpio=36,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,not_in_use
plants.soil,2026-07-01T19:19:28.365Z,2026-07-01 14:19:28.365,2,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3173,,,OK,,,,,level=air-dry;role=diag;spread=39;gpio=39,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,not_in_use
plants.soil,2026-07-01T19:19:28.432Z,2026-07-01 14:19:28.432,3,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3178,,,OK,,,,,level=air-dry;role=diag;spread=49;gpio=34,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,P08 cactus
plants.soil,2026-07-01T19:19:28.515Z,2026-07-01 14:19:28.515,4,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2280,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3286,,,OK,,,,,level=air-dry;role=diag;spread=34;gpio=35,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,P09 succulent
plants.env,2026-07-01T19:19:28.585Z,2026-07-01 14:19:28.585,5,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_temp,27269,27.82,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,sht45
plants.env,2026-07-01T19:19:28.665Z,2026-07-01 14:19:28.665,6,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,SHT45,sht45,breadboard_near_esp32,ambient_rh,28153,47.70,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,sht45
plants.env,2026-07-01T19:19:28.788Z,2026-07-01 14:19:28.788,7,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_610,47,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,as7263
plants.env,2026-07-01T19:19:28.865Z,2026-07-01 14:19:28.865,8,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_680,321,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,as7263
plants.env,2026-07-01T19:19:28.949Z,2026-07-01 14:19:28.949,9,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_730,50,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,as7263
plants.env,2026-07-01T19:19:29.015Z,2026-07-01 14:19:29.015,10,4098aa,Sprout ESP32,0.7.0,experiment_capture_0_1,2608,AS7263,as7263,breadboard_near_esp32,nir_760,145,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p08_p09_48h_measure_only_2probe,20260701_191925_p08_p09_48h_measure_only_2probe,1.0,as7263
