# plants telemetry experiment - schema_version=2 mode=experiment experiment_id=20260701_210013_p11_48h_4probe_check subject=p11_48h_4probe_check sample_rate_s=1.0 logger=experiment_capture_0_1
# fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# log_start_utc=2026-07-01T21:00:16.248Z tz_offset=-05:00 mode=experiment - isolated experiment capture; NOT a monitor log (never stitch into the baseline)
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes,mode,subject,experiment_id,sample_rate_s,label
plants.soil,2026-07-01T21:00:16.499Z,2026-07-01 16:00:16.499,1,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2353,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3182,,,OK,,,,,level=air-dry;role=diag;spread=13;gpio=36;device_seq=0;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s3
plants.soil,2026-07-01T21:00:16.583Z,2026-07-01 16:00:16.583,2,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2353,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3187,,,OK,,,,,level=air-dry;role=diag;spread=24;gpio=39;device_seq=1;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s4
plants.soil,2026-07-01T21:00:16.682Z,2026-07-01 16:00:16.682,3,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2353,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,3158,,,OK,,,,,level=air-dry;role=diag;spread=36;gpio=34;device_seq=2;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s1
plants.soil,2026-07-01T21:00:16.781Z,2026-07-01 16:00:16.781,4,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2353,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,3135,,,OK,,,,,level=air-dry;role=diag;spread=50;gpio=35;device_seq=3;time_source=device_uptime,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,P11 s2
plants.env,2026-07-01T21:00:16.849Z,2026-07-01 16:00:16.849,5,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,SHT45,sht45,breadboard_near_esp32,ambient_temp,27523,28.50,degC,OK,,,,,mount=breadboard_near_esp32,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,sht45
plants.env,2026-07-01T21:00:16.916Z,2026-07-01 16:00:16.916,6,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,SHT45,sht45,breadboard_near_esp32,ambient_rh,27513,46.48,pctRH,OK,,,,,mount=breadboard_near_esp32,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,sht45
plants.env,2026-07-01T21:00:17.032Z,2026-07-01 16:00:17.032,7,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,AS7263,as7263,breadboard_near_esp32,nir_610,18,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:17.098Z,2026-07-01 16:00:17.098,8,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,AS7263,as7263,breadboard_near_esp32,nir_680,260,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:17.182Z,2026-07-01 16:00:17.182,9,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,AS7263,as7263,breadboard_near_esp32,nir_730,13,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
plants.env,2026-07-01T21:00:17.265Z,2026-07-01 16:00:17.265,10,d4e246,Sprout ESP32,0.7.0,experiment_capture_0_1,2743,AS7263,as7263,breadboard_near_esp32,nir_760,54,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,,experiment,p11_48h_4probe_check,20260701_210013_p11_48h_4probe_check,1.0,as7263
