# log_start_utc=2026-07-01T19:04:44.290Z  tz_offset=-05:00  logger=plants_logger_0_4  schema_version=1
# boot plants controller fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# plants telemetry  schema_version=1  contract=docs/TELEMETRY_SCHEMA.md@v1
# fw=0.7.0  git=156ca68  built=Jul  1 2026 12:04:55  run=4probe-coloc-origplant
# device_id=Sprout ESP32 (default)  chip=ESP32-D0WD-V3  adc=ADC1,12bit,11dB,eFuseCal=off
# board: esp32-classic  wifi=yes  channels=4  adc=12bit  storage=nvs  tier0=monitor(untethered-ready)
# session_id=9227ed  cadence_ms=5000  cadence_src=nvs
# sensors: ch0=GPIO36/s3@origplant ch1=GPIO39/s4@origplant ch2=GPIO34/s1@origplant ch3=GPIO35/s2@origplant  (model=UMLIFE_v2_TLC555)
# health: ch0=OK ch1=OK ch2=OK ch3=OK  (NO_SIGNAL/SUSPECT = probe fault; supervisor won't water it, latch x3)
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050
# cfg: smp=100 trim=15 db=60 confirm_ms=3000/3000/2000 spr=250 discard=4
# safety: fail-safe OFF (4ch CW-022 active-low, off=HIGH)  task-wdt=8000ms  dose<=5000ms  autonomous=disarmed (!auto,on arms; !water=manual dose)
# env(bench): SHT45 ambient_temp/rh + AS7263 NIR(610-860nm) on I2C SDA21/SCL22 - breadboard_near_esp32, CONTEXT not plant-truth
# env cfg: AS7263 gain=16x itime=140ms I2C=100kHz - FIXED, no auto-range (#416); logged per row + here
# device_cols: record_type,session_id,device_id,fw,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
# authoritative: raw_value (ADC counts) + band (payload 'level'); value/unit are NULL - reserved for a future calibrated VWC, never an uncalibrated %.
# irrig ev=probe_not_in_soil ch=0 level=air-dry raw=3179 spread=22 t=2115
# irrig ev=probe_not_in_soil ch=1 level=air-dry raw=3174 spread=41 t=2115
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-01T19:04:44.290Z,2026-07-01 14:04:44.290,1,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3179,,,OK,,,,,level=air-dry;role=diag;spread=20;gpio=36,
plants.soil,2026-07-01T19:04:45.331Z,2026-07-01 14:04:45.331,2,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3174,,,OK,,,,,level=air-dry;role=diag;spread=25;gpio=39,
plants.soil,2026-07-01T19:04:45.331Z,2026-07-01 14:04:45.331,3,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1479,,,OK,,,,,level=well watered;role=disp;spread=34;gpio=34,
plants.soil,2026-07-01T19:04:45.333Z,2026-07-01 14:04:45.333,4,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1671,,,OK,,,,,level=OK;role=disp;spread=15;gpio=35,
plants.env,2026-07-01T19:04:45.333Z,2026-07-01 14:04:45.333,5,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,SHT45,sht45,breadboard_near_esp32,ambient_temp,27282,27.85,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:04:45.333Z,2026-07-01 14:04:45.333,6,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,SHT45,sht45,breadboard_near_esp32,ambient_rh,28560,48.47,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:04:45.335Z,2026-07-01 14:04:45.335,7,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_610,31,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:45.335Z,2026-07-01 14:04:45.335,8,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_680,399,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:45.337Z,2026-07-01 14:04:45.337,9,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_730,48,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:45.339Z,2026-07-01 14:04:45.339,10,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_760,62,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:45.340Z,2026-07-01 14:04:45.340,11,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_810,70,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:45.341Z,2026-07-01 14:04:45.341,12,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,5266,AS7263,as7263,breadboard_near_esp32,nir_860,396,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.soil,2026-07-01T19:04:49.299Z,2026-07-01 14:04:49.299,13,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,3172,,,OK,,,,,level=air-dry;role=diag;spread=10;gpio=36,
plants.soil,2026-07-01T19:04:49.379Z,2026-07-01 14:04:49.379,14,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,3170,,,OK,,,,,level=air-dry;role=diag;spread=12;gpio=39,
plants.soil,2026-07-01T19:04:49.448Z,2026-07-01 14:04:49.448,15,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1475,,,OK,,,,,level=well watered;role=disp;spread=43;gpio=34,
plants.soil,2026-07-01T19:04:49.529Z,2026-07-01 14:04:49.529,16,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1675,,,OK,,,,,level=OK;role=disp;spread=32;gpio=35,
plants.env,2026-07-01T19:04:49.601Z,2026-07-01 14:04:49.601,17,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10266,SHT45,sht45,breadboard_near_esp32,ambient_temp,27281,27.85,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:04:49.676Z,2026-07-01 14:04:49.676,18,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10266,SHT45,sht45,breadboard_near_esp32,ambient_rh,28433,48.23,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T19:04:49.782Z,2026-07-01 14:04:49.782,19,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10266,AS7263,as7263,breadboard_near_esp32,nir_610,31,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
plants.env,2026-07-01T19:04:49.860Z,2026-07-01 14:04:49.860,20,9227ed,Sprout ESP32,0.7.0,plants_logger_0_4,10266,AS7263,as7263,breadboard_near_esp32,nir_680,398,,,OK,,,,,gain=16;itime_ms=140;aim=skylight_beam;not_canopy,
