# log_start_utc=2026-07-01T21:05:22.244Z  tz_offset=-05:00  logger=plants_logger_0_4  schema_version=1
# boot plants controller fw=0.7.0 - schema v1, 4 soil sensors, supervisor-driven (autonomous dosing DISARMED; manual !water; fail-safe OFF)
# plants telemetry  schema_version=1  contract=docs/TELEMETRY_SCHEMA.md@v1
# fw=0.7.0  git=e5ae530  built=Jul  1 2026 15:32:45  run=4probe-coloc-origplant
# device_id=Sprout ESP32 (default)  chip=ESP32-D0WD-V3  adc=ADC1,12bit,11dB,eFuseCal=off
# board: esp32-classic  wifi=yes  channels=4  adc=12bit  storage=nvs  tier0=monitor(untethered-ready)
# session_id=63b032  cadence_ms=5000  cadence_src=nvs
# sensors: ch0=GPIO36/s3@origplant ch1=GPIO39/s4@origplant ch2=GPIO34/s1@origplant ch3=GPIO35/s2@origplant  (model=UMLIFE_v2_TLC555)
# health: ch0=OK ch1=OK ch2=OK ch3=OK  (NO_SIGNAL/SUSPECT = probe fault; supervisor won't water it, latch x3)
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050
# cfg: smp=100 trim=15 db=60 confirm_ms=3000/3000/2000 spr=250 discard=4
# safety: fail-safe OFF (4ch CW-022 active-low, off=HIGH)  task-wdt=8000ms  dose<=5000ms  autonomous=disarmed (!auto,on arms; !water=manual dose)
# env(bench): SHT45 ambient_temp/rh + AS7263 NIR(610-860nm) on I2C SDA21/SCL22 - breadboard_near_esp32, CONTEXT not plant-truth [AS7263 init FAILED]
# env cfg: AS7263 gain=16x itime=140ms I2C=100kHz - FIXED, no auto-range (#416); logged per row + here
# device_cols: record_type,session_id,device_id,fw,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
# authoritative: raw_value (ADC counts) + band (payload 'level'); value/unit are NULL - reserved for a future calibrated VWC, never an uncalibrated %.
# time: source=device_uptime (no NTP/RTC yet, #21) - device_seq/time_source ride each row's payload, schema v2 Â§11.1/Â§11.2
record_type,timestamp_utc,timestamp_local,sample_id,session_id,device_id,firmware_version,logger_version,millis_ms,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,temp_context_c,rh_context_pct,pressure_context_hpa,event_id,payload,notes
plants.soil,2026-07-01T21:05:22.244Z,2026-07-01 16:05:22.244,1,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,433,,,OK,,,,,level=submerged;role=diag;spread=21;gpio=36;device_seq=0;time_source=device_uptime,
plants.soil,2026-07-01T21:05:23.254Z,2026-07-01 16:05:23.254,2,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1293,,,OK,,,,,level=well watered;role=disp;spread=10;gpio=39;device_seq=1;time_source=device_uptime,
plants.soil,2026-07-01T21:05:23.255Z,2026-07-01 16:05:23.255,3,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1523,,,OK,,,,,level=OK;role=disp;spread=8;gpio=34;device_seq=2;time_source=device_uptime,
plants.soil,2026-07-01T21:05:23.256Z,2026-07-01 16:05:23.256,4,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5000,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,994,,,OK,,,,,level=submerged;role=diag;spread=21;gpio=35;device_seq=3;time_source=device_uptime,
plants.env,2026-07-01T21:05:23.257Z,2026-07-01 16:05:23.257,5,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5389,SHT45,sht45,breadboard_near_esp32,ambient_temp,27480,28.38,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:05:23.258Z,2026-07-01 16:05:23.258,6,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,5389,SHT45,sht45,breadboard_near_esp32,ambient_rh,28034,47.47,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:05:27.249Z,2026-07-01 16:05:27.249,7,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,450,,,OK,,,,,level=submerged;role=diag;spread=16;gpio=36;device_seq=4;time_source=device_uptime,
plants.soil,2026-07-01T21:05:27.345Z,2026-07-01 16:05:27.345,8,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1291,,,OK,,,,,level=well watered;role=disp;spread=12;gpio=39;device_seq=5;time_source=device_uptime,
plants.soil,2026-07-01T21:05:27.439Z,2026-07-01 16:05:27.439,9,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1523,,,OK,,,,,level=OK;role=disp;spread=16;gpio=34;device_seq=6;time_source=device_uptime,
plants.soil,2026-07-01T21:05:27.528Z,2026-07-01 16:05:27.528,10,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10004,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,995,,,OK,,,,,level=submerged;role=diag;spread=14;gpio=35;device_seq=7;time_source=device_uptime,
plants.env,2026-07-01T21:05:27.627Z,2026-07-01 16:05:27.627,11,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10393,SHT45,sht45,breadboard_near_esp32,ambient_temp,27478,28.38,degC,OK,,,,,mount=breadboard_near_esp32,
plants.env,2026-07-01T21:05:27.700Z,2026-07-01 16:05:27.700,12,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,10393,SHT45,sht45,breadboard_near_esp32,ambient_rh,27917,47.25,pctRH,OK,,,,,mount=breadboard_near_esp32,
plants.soil,2026-07-01T21:05:32.245Z,2026-07-01 16:05:32.245,13,63b032,Sprout ESP32,0.7.0,plants_logger_0_4,15000,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,481,,,OK,,,,,level=submerged;role=diag;spread=11;gpio=36;device_seq=8;time_source=device_uptime,
