t,raw,level,spread,q
0.9,873,submerged,18,OK
2.9,907,submerged,8,OK
4.9,872,submerged,12,OK
6.9,907,submerged,16,OK
8.9,873,submerged,32,OK
10.9,906,submerged,34,OK
12.9,882,submerged,17,OK
14.9,2735,submerged,12,OK
16.9,2905,dry,29,OK
18.9,3015,dry,15,OK
20.9,3006,dry,10,OK
22.9,934,dry,30,OK
24.9,879,submerged,30,OK
26.9,932,submerged,21,OK
28.9,932,submerged,18,OK
30.9,2799,submerged,24,OK
33.3,3114,dry,17,OK
35.3,3080,dry,10,OK
37.3,3144,dry,19,OK
39.3,954,dry,24,OK
41.3,992,overwatered,16,OK
43.3,958,overwatered,20,OK
45.3,1008,overwatered,23,OK
47.3,3008,overwatered,18,OK
49.3,3139,overwatered,16,OK
51.3,3150,air-dry,28,OK
53.3,3158,air-dry,19,OK
55.3,1041,air-dry,20,OK
57.3,1048,overwatered,28,OK
59.3,1036,overwatered,23,OK
61.3,1038,overwatered,17,OK
63.3,2956,overwatered,16,OK
65.3,3139,overwatered,16,OK
67.3,3143,air-dry,36,OK
69.3,3084,air-dry,11,OK
71.3,1078,air-dry,34,OK
73.7,1049,overwatered,12,OK
75.7,1062,overwatered,19,OK
77.7,1008,overwatered,21,OK
79.7,3058,overwatered,9,OK
81.7,3029,dry,29,OK
83.7,3091,dry,18,OK
85.7,3023,dry,18,OK
87.7,1166,dry,26,OK
89.7,1158,well watered,28,OK
91.7,1155,well watered,16,OK
93.7,1153,well watered,20,OK
95.7,3006,well watered,13,OK
97.7,3005,dry,22,OK
99.7,3005,dry,23,OK
101.7,3003,dry,18,OK
103.7,1465,dry,21,OK
105.7,1468,well watered,9,OK
107.7,1425,well watered,16,OK
109.7,1473,well watered,21,OK
111.7,1425,well watered,30,OK
114.1,3005,well watered,31,OK
116.1,3032,dry,18,OK
118.1,3093,dry,19,OK
120.1,3026,dry,9,OK
122.1,3098,dry,7,OK
124.1,3052,dry,44,OK
126.1,3125,dry,14,OK
128.1,3129,dry,9,OK
130.1,3144,air-dry,19,OK
132.1,3146,air-dry,31,OK
134.1,3141,air-dry,11,OK
136.1,3143,air-dry,17,OK
138.1,3095,air-dry,7,OK
140.1,3094,air-dry,14,OK
142.1,3084,air-dry,13,OK
144.1,3095,air-dry,16,OK
146.1,3037,air-dry,29,OK
148.1,3095,air-dry,9,OK
150.1,3026,air-dry,17,OK
152.1,3095,air-dry,21,OK
154.5,3033,air-dry,26,OK
156.5,3096,air-dry,13,OK
158.5,3030,air-dry,31,OK
160.5,3095,air-dry,2,OK
162.5,3028,air-dry,7,OK
164.5,3094,air-dry,25,OK
166.5,3068,air-dry,16,OK
168.5,3093,air-dry,12,OK
170.5,3095,air-dry,11,OK
172.5,3093,air-dry,19,OK
174.5,3092,air-dry,22,OK
176.5,3092,air-dry,15,OK
178.5,3093,air-dry,15,OK
180.5,3075,air-dry,22,OK
182.5,3093,air-dry,16,OK
184.5,3034,air-dry,18,OK
186.5,3093,air-dry,27,OK
188.5,3028,air-dry,12,OK
190.5,3093,air-dry,15,OK
192.5,3028,air-dry,20,OK
194.9,3023,dry,20,OK
196.9,3049,dry,9,OK
198.9,3092,dry,32,OK
200.9,3025,dry,25,OK
202.9,3093,dry,23,OK
204.9,3090,dry,10,OK
206.9,3092,dry,16,OK
208.9,3092,dry,7,OK
210.9,3093,dry,16,OK
212.9,3018,dry,16,OK
214.9,3078,dry,19,OK
216.9,3093,dry,11,OK
218.9,3072,dry,17,OK
220.9,3019,dry,26,OK
222.9,3031,dry,6,OK
224.9,3096,dry,18,OK
226.9,3026,dry,16,OK
228.9,3091,dry,17,OK
230.9,3076,dry,39,OK
232.9,3090,dry,18,OK
235.3,3066,dry,6,OK
237.3,3092,dry,19,OK
239.3,3022,dry,5,OK
241.3,3091,dry,14,OK
243.3,3088,dry,28,OK
245.3,3094,dry,34,OK
247.3,3093,dry,33,OK
249.3,3093,dry,25,OK
251.3,3092,dry,17,OK
253.3,3091,dry,18,OK
255.3,3091,dry,19,OK
257.3,3067,dry,8,OK
259.3,3090,dry,23,OK
261.3,3030,dry,14,OK
263.3,3091,dry,26,OK
