# fw=0.7.0  git=env0001  run=env-sample
# device_id=plants_esp32_env  schema_version=1  cadence_ms=30000  cadence_src=nvs
# sensors: ch0=GPIO36/s3 ch1=GPIO39/s4 ch2=GPIO34/s1 ch3=GPIO35/s2
# env: SHT45@0x44 (ambient temp/RH)  AS7263@0x49 (NIR 610-860nm)  mount=breadboard_near_esp32
# cal bounds(dry>wet): 3050 2140 1830 1520 1150 1050  [moist% 900..3400]
record_type,timestamp_utc,timestamp_local,session_id,device_id,firmware_version,sensor_model,sensor_id,sensor_position,channel,raw_value,value,unit,quality_flag,payload
plants.soil,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,UMLIFE_v2_TLC555,s1,origplant,soil_moisture,1500,,,OK,level=well watered;role=disp;spread=24;gpio=36
plants.soil,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,UMLIFE_v2_TLC555,s2,origplant,soil_moisture,1540,,,OK,level=well watered;role=disp;spread=24;gpio=36
plants.soil,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,UMLIFE_v2_TLC555,s3,origplant,soil_moisture,1580,,,OK,level=well watered;role=disp;spread=24;gpio=36
plants.soil,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,UMLIFE_v2_TLC555,s4,origplant,soil_moisture,1620,,,OK,level=well watered;role=disp;spread=24;gpio=36
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,SHT45,env,breadboard_near_esp32,ambient_temp,,23.0,degC,OK,mount=breadboard_near_esp32
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,SHT45,env,breadboard_near_esp32,ambient_rh,,48.0,pctRH,OK,mount=breadboard_near_esp32
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_610,800,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_680,1020,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_730,1240,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_760,1460,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_810,1680,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
plants.env,2026-06-29T12:00:00.000Z,2026-06-29T12:00:00.000,envs01,plants_esp32_env,0.7.0,AS7263,env,breadboard_near_esp32,nir_860,1900,,,OK,gain=16;itime_ms=50;aim=skylight_beam;not_canopy
